一	4e00.a
思	7530.d,5fc3.e
怠	53f0.d,5fc3.e
怡	5fc4.b,53f0.c
急	520d.d,5fc3.e
怦	5fc4.b,5e73.c
性	5fc4.b,751f.c
怨	5917.d,5fc3.e
怩	5fc4.b,5c3c.c
怪	5fc4.b,5723.c
怫	5fc4.b,5f17.c
怯	5fc4.b,53bb.c
怱	5306.d,5fc3.e
怵	5fc4.b,672f.c
怺	5fc4.b,6c38.c
总	20ba6.d,5fc3.e
怼	5bf9.d,5fc3.e
怿	5fc4.b,20b24.c
恁	4efb.d,5fc3.e
恂	5fc4.b,65ec.c
恃	5fc4.b,5bfa.c
恆	5fc4.b,4e99.c
恊	5fc4.b,52a6.c
恋	3005c.d,5fc3.e
恍	5fc4.b,5149.c
恐	5de9.d,5fc3.e
恒	5fc4.b,4e98.c
恓	5fc4.b,897f.c
恔	5fc4.b,4ea4.c
恕	5982.d,5fc3.e
恙	2634c.d,5fc3.e
恚	572d.d,5fc3.e
恝	34de.d,5fc3.e
恟	5fc4.b,5308.c
恠	5fc4.b,5728.c
恢	5fc4.b,7070.c
恣	6b21.d,5fc3.e
恤	5fc4.b,8840.c
恥	8033.b,5fc3.c
恧	800c.d,5fc3.e
恨	5fc4.b,826e.c
恩	56e0.d,5fc3.e
恪	5fc4.b,5404.c
恫	5fc4.b,540c.c
恬	5fc4.b,820c.c
恭	5171.d,38fa.e
息	81ea.d,5fc3.e
恰	5fc4.b,5408.c
恳	826e.d,5fc3.e
恵	24c14.d,5fc3.e
恶	4e9a.d,5fc3.e
恷	4f11.d,5fc3.e
恸	5fc4.b,52a8.c
恹	5fc4.b,538c.c
恺	5fc4.b,5c82.c
恻	5fc4.b,5219.c
恼	5fc4.b,342b.c
恽	5fc4.b,519b.c
恿	752c.d,5fc3.e
悁	5fc4.b,8099.c
悃	5fc4.b,56f0.c
悄	5fc4.b,8096.c
悆	4f59.d,5fc3.e
悈	5fc4.b,6212.c
悉	91c6.d,5fc3.e
悋	5fc4.b,541d.c
悌	5fc4.b,5f1f.c
悍	5fc4.b,65f1.c
悒	5fc4.b,9091.c
悔	5fc4.b,6bcf.c
悖	5fc4.b,5b5b.c
悗	5fc4.b,514d.c
悚	5fc4.b,675f.c
悛	5fc4.b,590b.c
悝	5fc4.b,91cc.c
悟	5fc4.b,543e.c
悠	6538.d,5fc3.e
悢	5fc4.b,826f.c
患	4e32.d,5fc3.e
悦	5fc4.b,5151.c
悧	5fc4.b,5229.c
您	4f60.d,5fc3.e
悩	5fc4.b,2ff0.5fc4.2ff1.2d544.51f6.c
悪	4e9c.d,5fc3.e
悫	58f3.d,5fc3.e
悬	53bf.d,5fc3.e
悭	5fc4.b,575a.c
悯	5fc4.b,95f5.c
悰	5fc4.b,5b97.c
悱	5fc4.b,975e.c
悲	975e.d,5fc3.e
悳	76f4.d,5fc3.e
悴	5fc4.b,5352.c
悵	5fc4.b,9577.c
悶	9580.a,5fc3.g
悸	5fc4.b,5b63.c
悻	5fc4.b,5e78.c
悼	5fc4.b,5353.c
悽	5fc4.b,59bb.c
情	5fc4.b,9752.c
惆	5fc4.b,5468.c
惇	5fc4.b,4eab.c
惊	5fc4.b,4eac.c
惋	5fc4.b,5b9b.c
惎	5176.d,5fc3.e
惑	6216.d,5fc3.e
惓	5fc4.b,5377.c
惔	5fc4.b,708e.c
惕	5fc4.b,6613.c
惘	5fc4.b,7f54.c
惙	5fc4.b,53d5.c
惚	5fc4.b,5ffd.c
惛	5fc4.b,660f.c
惜	5fc4.b,6614.c
惝	5fc4.b,5c1a.c
惟	5fc4.b,96b9.c
惠	53c0.d,5fc3.e
惡	4e9e.d,5fc3.e
惣	7269.d,5fc3.e
惦	5fc4.b,5e97.c
惧	5fc4.b,5177.c
惨	5fc4.b,53c2.c
惩	5f81.d,5fc3.e
惫	5902.d,601d.e
惬	5fc4.b,2ff0.5fc4.2ff7.531a.5939.c
惭	5fc4.b,65a9.c
惮	5fc4.b,5355.c
惯	5fc4.b,8d2f.c
惰	5fc4.b,2ff0.5fc4.2ff1.5de6.2e9d.c
惱	5fc4.b,21ffa.c
想	76f8.d,5fc3.e
惴	5fc4.b,8011.c
惶	5fc4.b,7687.c
惷	6625.d,5fc3.e
惹	82e5.d,5fc3.e
惺	5fc4.b,661f.c
惻	5fc4.b,5247.c
愀	5fc4.b,79cb.c
愁	79cb.d,5fc3.e
愃	5fc4.b,5ba3.c
愆	884d.d,5fc3.e
愈	4fde.d,5fc3.e
愉	5fc4.b,4fde.c
愍	6543.d,5fc3.e
愎	5fc4.b,590d.c
意	97f3.d,5fc3.e
愐	5fc4.b,9762.c
愔	5fc4.b,97f3.c
愕	5fc4.b,54a2.c
愚	79ba.d,5fc3.e
愛	722b.d,2ff1.5196225bb.e#
感	54b8.d,5fc3.e
愠	5fc4.b,6637.c
愡	5fc4.b,6031.c
愣	5fc4.b,2c659.c
愤	5fc4.b,8d32.c
愦	5fc4.b,8d35.c
愧	5fc4.b,9b3c.c
愨	23a8a.d,5fc3.e
愫	5fc4.b,7d20.c
愬	6714.d,5fc3.e
愭	5fc4.b,8006.c
愴	5fc4.b,5009.c
愼	5fc4.b,771f.c
愽	5fc4.b,5c03.c
愾	5fc4.b,6c23.c
愿	539f.d,5fc3.e
慂	6d8c.d,5fc3.e
慄	5fc4.b,6817.c
慆	5fc4.b,8200.c
慇	6bb7.d,5fc3.e
慈	5179.d,5fc3.e
慊	5fc4.b,517c.c
態	80fd.d,5fc3.e
慌	5fc4.b,8352.c
慍	5fc4.b,6637.c
慎	5fc4.b,771f.c
慑	5fc4.b,8042.c
慓	5fc4.b,7968.c
慕	83ab.d,38fa.e
慘	5fc4.b,53c3.c
慙	65ac.d,5fc3.e
慚	5fc4.b,65ac.c
慝	533f.d,5fc3.e
慟	5fc4.b,52d5.c
慢	5fc4.b,66fc.c
慣	5fc4.b,8cab.c
慥	5fc4.b,9020.c
慧	5f57.d,5fc3.e
慨	5fc4.b,65e2.c
慫	5f9e.d,5fc3.e
慬	5fc4.b,5807.c
慭	2aebd.d,5fc3.e
慮	864d.a,601d.j
慯	5fc4.b,2c037.c
慰	5c09.d,5fc3.e
慱	5fc4.b,5c08.c
慳	5fc4.b,5805.c
慴	5fc4.b,7fd2.c
慵	5fc4.b,5eb8.c
慶	5e7f.a,2ff8.5e7f.2ff3.2ffb.5b.3a.2d.31.5d.3022.30b3.4e5b.225bb.j
慷	5fc4.b,5eb7.c
慾	6b32.d,5fc3.e
憂	3951.d,5902.e
憇	751c.d,5fc3.e
憊	5099.d,5fc3.e
憋	655d.d,5fc3.e
憎	5fc4.b,66fe.c
憐	5fc4.b,7ca6.c
憑	99ae.d,5fc3.e
憔	5fc4.b,7126.c
憕	5fc4.b,767b.c
憖	730c.d,5fc3.e
憙	559c.d,5fc3.e
憚	5fc4.b,55ae.c
憝	6566.d,5fc3.e
憤	5fc4.b,8cc1.c
憧	5fc4.b,7ae5.c
憨	6562.d,5fc3.e
憩	2ff1.2ff0.820c.81ea.5fc3.d,5fc3.e
憫	5fc4.b,9594.c
憬	5fc4.b,666f.c
憭	5fc4.b,5c1e.c
憮	5fc4.b,7121.c
憲	21a5c.d,5fc3.e
憶	5fc4.b,610f.c
憷	5fc4.b,695a.c
憺	5fc4.b,8a79.c
憾	5fc4.b,611f.c
懂	5fc4.b,8463.c
懃	52e4.d,5fc3.e
懆	5fc4.b,55bf.c
懇	8c87.d,5fc3.e
懈	5fc4.b,89e3.c
應	49f9.a,5fc3.j
懊	5fc4.b,5965.c
懋	6959.d,5fc3.e
懌	5fc4.b,776a.c
懍	5fc4.b,7a1f.c
懐	5fc4.b,2ff0.5fc4.2ff1.4ea0.2dfb1.c
懑	6ee1.d,5fc3.e
懒	5fc4.b,8d56.c
懔	5fc4.b,7980.c
懣	6eff.d,5fc3.e
懦	5fc4.b,9700.c
懲	5fb5.d,5fc3.e
懴	5fc4.b,97ef.c
懵	5fc4.b,77a2.c
懶	5fc4.b,8cf4.c
懷	5fc4.b,8931.c
懸	7e23.d,5fc3.e
懺	5fc4.b,97f1.c
懼	5fc4.b,77bf.c
懽	5fc4.b,96da.c
懾	5fc4.b,8076.c
懿	58f9.b,6063.c
戀	470c.d,5fc3.e
戆	8d63.d,5fc3.e
戈	2d80d.a,4e36.l
戉	2ffa.2ffb.31c2.2ff8.531a.4e3f.4e36.a,4e36.l
戊	2ffa.2ffb.31c2.2ff8.5382.4e3f.4e36.a,4e36.l
戋	2ffa.2ffb.2b820.4e06.4e36.a,4e36.l
戌	620a.a,4e00.g
戍	620a.a,4e36.g
戎	6208.a,20087.k
戏	53c8.b,6208.c
成	620a.a,4e01.g
我	4e3f.d,2ff1.4e3f.2ffb.4e85.2d7ee.e
戒	6208.a,5efe.k
戔	6208.d,6208.e
戕	723f.b,6208.c
或	6213.a,4e00.k
戗	4ed3.b,6208.c
战	5360.b,6208.c
戚	620a.a,5c17.g
戛	268fb.d,6208.e
戝	8c9d.b,6208.c
戞	9801.d,6208.e
戟	2099d.b,6208.c
戡	751a.b,6208.c
戢	2ff9.2ffd.6208.53e3.2ffd.5341.2ff0.4e28.4e8c.a,2ff9.2ffd.6208.53e3.2ffd.5341.2ff0.4e28.4e8c.k
戣	7678.b,6208.c
戤	76c8.b,6208.c
戥	661f.b,6208.c
戦	5355.b,6208.c
截	2298f.a,96b9.k
戬	664b.b,6208.c
戭	5bc5.b,6208.c
戮	7fcf.b,6208.c
戯	865a.b,6208.c
戰	55ae.b,6208.c
戲	4592.b,6208.c
戳	7fdf.b,6208.c
戴	2298f.a,7570.k
户	4e36.d,5c38.e
戸	4e00.d,5c38.e
戻	6237.a,5927.j
戽	6237.a,6597.j
戾	6237.a,72ac.j
房	6237.a,65b9.j
所	6237.b,65a4.c
扁	6237.a,20541.j
扂	6237.a,5360.j
扃	6237.a,518b.j
扅	6237.a,591a.j
扆	6237.a,8863.j
扇	6237.a,7fbd.j
扈	6237.a,9091.j
扉	6237.a,975e.j
扊	6237.a,708e.j
手	2008c.a,4e00.m
扌	2ceb0.a,31c0.m
才	2ceb0.a,4e3f.k
扎	624c.b,4e5a.c
扑	624c.b,535c.c
扒	624c.b,516b.c
打	624c.b,4e01.c
扔	624c.b,4e43.c
払	624c.b,53b6.c
托	624c.b,4e47.c
扛	624c.b,5de5.c
扞	624c.b,5e72.c
扠	624c.b,53c9.c
扣	624c.b,53e3.c
扦	624c.b,5343.c
执	624c.b,4e38.c
扨	624c.b,5203.c
扩	624c.b,5e7f.c
扪	624c.b,95e8.c
扫	624c.b,2b739.c
扬	624c.b,200d3.c
扭	624c.b,4e11.c
扮	624c.b,5206.c
扯	624c.b,6b62.c
扰	624c.b,5c24.c
扱	624c.b,53ca.c
扳	624c.b,53cd.c
扶	624c.b,592b.c
批	624c.b,6bd4.c
扺	624c.b,6c0f.c
扼	624c.b,5384.c
扽	624c.b,5c6f.c
找	624c.b,6208.c
承	4e86.a,2ffb.4e86.2ff2.31c7.4e09.2ff1.4e3f.4e36.m
技	624c.b,652f.c
抂	624c.b,738b.c
抃	624c.b,535e.c
抄	624c.b,5c11.c
抉	624c.b,592c.c
把	624c.b,5df4.c
抑	624c.b,536c.c
抒	624c.b,4e88.c
抓	624c.b,722a.c
抔	624c.b,4e0d.c
投	624c.b,6bb3.c
抖	624c.b,6597.c
抗	624c.b,4ea2.c
折	624c.b,65a4.c
抚	624c.b,65e0.c
抛	624c.b,20835.c
抜	624c.b,53cb.c
択	624c.b,5c3a.c
抟	624c.b,4e13.c
抠	624c.b,533a.c
抡	624c.b,4ed1.c
抢	624c.b,4ed3.c
护	624c.b,6237.c
报	624c.b,20b1d.c
抨	624c.b,5e73.c
披	624c.b,76ae.c
抬	624c.b,53f0.c
抱	624c.b,5305.c
抵	624c.b,6c10.c
抹	624c.b,672b.c
抻	624c.b,7533.c
押	624c.b,7532.c
抽	624c.b,7531.c
抿	624c.b,6c11.c
拂	624c.b,5f17.c
拃	624c.b,4e4d.c
拄	624c.b,4e3b.c
担	624c.b,65e6.c
拆	624c.b,65a5.c
拇	624c.b,6bcd.c
拈	624c.b,5360.c
拉	624c.b,7acb.c
拊	624c.b,4ed8.c
拌	624c.b,534a.c
拍	624c.b,767d.c
拎	624c.b,4ee4.c
拏	5974.d,624b.e
拐	624c.b,53e6.c
拑	624c.b,7518.c
拒	624c.b,5de8.c
拓	624c.b,77f3.c
拔	624c.b,72ae.c
拖	624c.b,340c.c
拗	624c.b,5e7c.c
拘	624c.b,53e5.c
拙	624c.b,51fa.c
拚	624c.b,5f01.c
招	624c.b,53ec.c
拜	9fb5.b,2ff0.9fb5.2ff1.4e00.4e30.c
拝	624c.b,2ff0.624c.2ff1.4e00.4e30.c
拟	624c.b,4ee5.c
拠	624c.b,51e6.c
拡	624c.b,5e83.c
拢	624c.b,9f99.c
拣	624c.b,2b823.c
拤	624c.b,5361.c
拥	624c.b,7528.c
拦	624c.b,5170.c
拧	624c.b,5b81.c
拨	624c.b,53d1.c
择	624c.b,20b24.c
括	624c.b,820c.c
拭	624c.b,5f0f.c
拮	624c.b,5409.c
拯	624c.b,4e1e.c
拱	624c.b,5171.c
拳	9fb9.d,624b.e
拴	624c.b,5168.c
拵	624c.b,5b58.c
拶	624c.b,21fea.c
拷	624c.b,8003.c
拼	624c.b,5e76.c
拽	624c.b,66f3.c
拾	624c.b,5408.c
拿	5408.d,624b.e
持	624c.b,5bfa.c
挂	624c.b,572d.c
指	624c.b,65e8.c
挈	34de.d,624b.e
按	624c.b,5b89.c
挌	624c.b,5404.c
挎	624c.b,5938.c
挑	624c.b,5146.c
挓	624c.b,5b85.c
挖	624c.b,7a75.c
挙	5174.d,624b.e
挚	6267.d,624b.e
挛	3005c.d,624b.e
挝	624c.b,8fc7.c
挞	624c.b,8fbe.c
挟	624c.b,5939.c
挠	624c.b,5c27.c
挡	624c.b,5f53.c
挢	624c.b,4e54.c
挣	624c.b,4e89.c
挤	624c.b,9f50.c
挥	624c.b,519b.c
挦	624c.b,5bfb.c
挧	624c.b,7fbd.c
挨	624c.b,77e3.c
挪	624c.b,90a3.c
挫	624c.b,5750.c
振	624c.b,8fb0.c
挲	6c99.d,624b.e
挹	624c.b,9091.c
挺	624c.b,5ef7.c
挽	624c.b,514d.c
挾	624c.b,593e.c
挿	624c.b,81ff.c
捂	624c.b,543e.c
捃	624c.b,541b.c
捅	624c.b,752c.c
捆	624c.b,56f0.c
捉	624c.b,8db3.c
捋	624c.b,5bfd.c
捌	624c.b,522b.c
捍	624c.b,65f1.c
捎	624c.b,8096.c
捏	624c.b,573c.c
捐	624c.b,8099.c
捕	624c.b,752b.c
捗	624c.b,6b65.c
捜	624c.b,53df.c
捞	624c.b,52b3.c
损	624c.b,5458.c
捡	624c.b,4f65.c
换	624c.b,5942.c
捣	624c.b,5c9b.c
捧	624c.b,5949.c
捨	624c.b,820d.c
捩	624c.b,623e.c
捫	624c.b,9580.c
捭	624c.b,5351.c
据	624c.b,5c45.c
捯	624c.b,5230.c
捱	624c.b,5393.c
捲	624c.b,5377.c
捶	624c.b,5782.c
捷	624c.b,758c.c
捺	624c.b,5948.c
捻	624c.b,5ff5.c
捽	624c.b,5352.c
掀	624c.b,6b23.c
掂	624c.b,5e97.c
掃	624c.b,5e1a.c
掇	624c.b,53d5.c
授	624c.b,53d7.c
掉	624c.b,5353.c
掊	624c.b,5485.c
掌	5c0f.d,2ff1.519620c05.e#
掎	624c.b,5947.c
掏	624c.b,530b.c
掐	624c.b,81fd.c
排	624c.b,975e.c
掖	624c.b,591c.c
掘	624c.b,5c48.c
掛	624c.b,5366.c
掞	624c.b,708e.c
掟	624c.b,5b9a.c
掠	624c.b,4eac.c
採	624c.b,91c7.c
探	624c.b,7f59.c
掣	5236.d,624b.e
接	624c.b,59be.c
控	624c.b,7a7a.c
推	624c.b,96b9.c
掩	624c.b,5944.c
措	624c.b,6614.c
掫	624c.b,53d6.c
掬	624c.b,530a.c
掭	624c.b,5fdd.c
掮	624c.b,80a9.c
掰	9fb5.b,2ff0.5206624b.c#
掲	624c.b,66f7.c
掳	624c.b,864f.c
掴	624c.b,56fd.c
掵	624c.b,547d.c
掷	624c.b,90d1.c
掸	624c.b,5355.c
掺	624c.b,53c2.c
掻	624c.b,27221.c
掼	624c.b,8d2f.c
掾	624c.b,5f56.c
揀	624c.b,67ec.c
揃	624c.b,524d.c
揄	624c.b,4fde.c
揆	624c.b,7678.c
揉	624c.b,67d4.c
揍	624c.b,594f.c
揎	624c.b,5ba3.c
描	624c.b,82d7.c
提	624c.b,662f.c
插	624c.b,81ff.c
揕	624c.b,751a.c
揖	624c.b,54a0.c
揚	624c.b,661c.c
換	624c.b,5942.c
揞	624c.b,97f3.c
揠	624c.b,533d.c
握	624c.b,5c4b.c
揣	624c.b,8011.c
揩	624c.b,7686.c
揪	624c.b,79cb.c
揭	624c.b,66f7.c
揮	624c.b,8ecd.c
揲	624c.b,67bc.c
揳	624c.b,5951.c
援	624c.b,7230.c
揶	624c.b,8036.c
揸	624c.b,67e5.c
揺	624c.b,4343.c
揽	624c.b,89c8.c
揾	624c.b,6637.c
揿	624c.b,94a6.c
搀	624c.b,2b94e.c
搁	624c.b,9601.c
搂	624c.b,5a04.c
搅	624c.b,89c9.c
搆	624c.b,5193.c
搋	624c.b,8652.c
搌	624c.b,5c55.c
損	624c.b,54e1.c
搏	624c.b,5c03.c
搐	624c.b,755c.c
搒	624c.b,65c1.c
搓	624c.b,5dee.c
搔	624c.b,86a4.c
搖	624c.b,4343.c
搗	624c.b,5cf6.c
搛	624c.b,517c.c
搜	624c.b,53df.c
搞	624c.b,9ad8.c
搠	624c.b,6714.c
搡	624c.b,6851.c
搦	624c.b,5f31.c
搨	624c.b,26407.c
搪	624c.b,5510.c
搬	624c.b,822c.c
搭	624c.b,8345.c
搴	21a04.d,624b.e
搶	624c.b,5009.c
携	624c.b,96bd.c
搽	624c.b,8336.c
搾	624c.b,7a84.c
搿	9fb5.b,39f1.c
摁	624c.b,6069.c
摂	624c.b,2ff0.624c.2ff1.8033.2ff0.51ab.2ff1.4e3f.4e36.c
摄	624c.b,8042.c
摅	624c.b,8651.c
摆	624c.b,7f62.c
摇	624c.b,4343.c
摈	624c.b,5bbe.c
摊	624c.b,96be.c
摎	624c.b,7fcf.c
摏	624c.b,8202.c
摒	624c.b,5c4f.c
摔	624c.b,7387.c
摘	624c.b,5547.c
摛	624c.b,79bb.c
摞	624c.b,7d2f.c
摧	624c.b,5d14.c
摩	9ebb.a,624b.j
摭	624c.b,5eb6.c
摯	57f7.d,624b.e
摴	624c.b,96e9.c
摶	624c.b,5c08.c
摸	624c.b,83ab.c
摹	83ab.d,624b.e
摺	624c.b,7fd2.c
摽	624c.b,7968.c
撂	624c.b,7567.c
撃	8ed7.d,624b.e
撄	624c.b,5a74.c
撅	624c.b,53a5.c
撇	624c.b,655d.c
撈	624c.b,52de.c
撑	624c.b,638c.c
撒	624c.b,6563.c
撓	624c.b,582f.c
撕	624c.b,65af.c
撖	624c.b,6562.c
撙	624c.b,5c0a.c
撚	624c.b,7136.c
撞	624c.b,7ae5.c
撤	624c.b,3054e.c
撥	624c.b,767c.c
撩	624c.b,5c1e.c
撫	624c.b,7121.c
撬	624c.b,6bf3.c
播	624c.b,756a.c
撮	624c.b,6700.c
撰	624c.b,5dfd.c
撲	624c.b,83d0.c
撵	624c.b,8f87.c
撷	624c.b,9889.c
撸	624c.b,9c81.c
撹	624c.b,899a.c
撺	624c.b,7a9c.c
撻	624c.b,9054.c
撼	624c.b,611f.c
擀	624c.b,5e79.c
擁	624c.b,96cd.c
擂	624c.b,96f7.c
擅	624c.b,4eb6.c
擇	624c.b,776a.c
操	624c.b,55bf.c
擎	656c.d,624b.e
擐	624c.b,7758.c
擒	624c.b,79bd.c
擔	624c.b,8a79.c
擗	624c.b,8f9f.c
擘	8f9f.d,624b.e
據	624c.b,8c66.c
擞	624c.b,6570.c
擠	624c.b,9f4a.c
擡	624c.b,81fa.c
擢	624c.b,7fdf.c
擣	624c.b,58fd.c
擤	624c.b,9f3b.c
擦	624c.b,5bdf.c
擧	8207.d,624b.e
擬	624c.b,7591.c
擯	624c.b,8cd3.c
擱	624c.b,95a3.c
擲	624c.b,912d.c
擴	624c.b,5ee3.c
擶	624c.b,7bad.c
擺	624c.b,7f77.c
擽	624c.b,6a02.c
擾	624c.b,6182.c
擿	624c.b,9069.c
攀	6a0a.d,624b.e
攅	624c.b,8cdb.c
攉	624c.b,970d.c
攒	624c.b,8d5e.c
攘	624c.b,8944.c
攜	624c.b,5dc2.c
攝	624c.b,8076.c
攣	470c.d,624b.e
攤	624c.b,96e3.c
攥	624c.b,7e82.c
攪	624c.b,89ba.c
攫	624c.b,77cd.c
攬	624c.b,89bd.c
攮	624c.b,56ca.c
支	5341.d,53c8.e
攴	2e8a.d,53c8.e
攵	20089.d,4e42.e
收	4e29.b,6535.c
攷	4e02.b,6535.c
攸	4ebb.b,2ff0.4e286535.c#
改	5df1.b,6535.c
攻	5de5.b,6535.c
攽	5206.b,6535.c
放	65b9.b,6535.c
政	6b63.b,6535.c
故	53e4.b,6535.c
效	4ea4.b,6535.c
敉	7c73.b,6535.c
敌	820c.b,6535.c
敍	4f59.b,6534.c
敏	6bcf.b,6535.c
救	6c42.b,6535.c
敔	543e.b,6535.c
敕	675f.b,6535.c
敖	2b824.b,6535.c
敗	8c9d.b,6535.c
敘	4f59.b,6535.c
教	5b5d.b,6535.c
敛	4f65.b,6535.c
敝	3840.b,6535.c
敞	5c1a.b,6535.c
敢	2ff0.2ff1.200cd.8033.6535.b,6535.c
散	2ff0.2ff1.9fb7.2e9d.6535.b,6535.c
敦	4eab.b,6535.c
敩	5b66.b,6535.c
敫	2ff0.2ff1.767d.65b9.6535.b,6535.c
敬	82df.b,6535.c
数	5a04.b,6535.c
敲	9ad8.b,6534.c
整	6555.d,6b63.e
敵	5547.b,6535.c
敷	65c9.b,6535.c
數	5a41.b,6535.c
斂	50c9.b,6535.c
斃	655d.d,6b7b.e
文	4ea0.d,4e42.e
斈	6587.d,5b50.e
斉	9f50.a,4e8c.g
斋	6587.d,800c.e
斌	6587.b,6b66.c
斎	9f50.a,793a.g
斐	975e.d,6587.e
斑	739f.b,738b.c
斓	6587.b,9611.c
斗	5341.a,2e80.o
料	7c73.b,6597.c
斛	89d2.b,6597.c
斜	4f59.b,6597.c
斝	5405.d,2ff1.51966597.e#
斟	751a.b,6597.c
斠	5193.b,6597.c
斡	501d.a,6597.j
斤	20086.a,4e05.j
斥	20086.a,2ff8.20086.2ffb.4e05.4e36.j
斧	7236.d,65a4.e
斩	8f66.b,65a4.c
斫	77f3.b,65a4.c
斬	8eca.b,65a4.c
断	2ff0.2ffa.200ca.7c73.65a4.b,65a4.c
斯	5176.b,65a4.c
新	4eb2.b,65a4.c
斶	65a4.b,8700.c
斷	386d.b,65a4.c
方	4ea0.d,52f9.e
於	65b9.b,4ed2.c
施	65b9.b,340c.c
旁	4ea0.d,2ff1.4e372ff3.4ea0.4e37.2ff1.5196.65b9.e#
旃	2d928.a,4e39.j
旄	2d928.a,6bdb.j
旅	2d928.a,27607.j
旆	2d928.a,5dff.j
旋	65b9.b,2defe.c
旌	2d928.a,751f.j
旎	2d928.a,5c3c.j
族	65b9.b,30992.c
旐	2d928.a,5146.j
旒	2d928.a,342c.j
旖	2d928.a,5947.j
旗	2d928.a,5176.j
旙	65b9.b,756a.c
旛	2d928.a,756a.j
旞	2d928.a,9042.j
无	4e00.d,5c22.e
旡	2ffb.2ff8.4e06.4e5a.200ca.a,200ca.m
既	2ff0.2ff8.22033.4e36.65e1.b,65e1.c
日	56d7.a,4e00.f
旦	65e5.d,4e00.e
旧	4e28.b,65e5.c
旨	5315.d,65e5.e
早	65e5.d,5341.e
旬	52f9.a,65e5.k
旭	4e5d.a,65e5.l
旮	4e5d.d,65e5.e
旯	65e5.d,4e5d.e
旰	65e5.b,5e72.c
旱	65e5.d,5e72.e
旴	65e5.b,4e8e.c
旵	65e5.d,5c71.e
时	65e5.b,5bf8.c
旷	65e5.b,5e7f.c
旸	65e5.b,200d3.c
旺	65e5.b,738b.c
旻	65e5.d,6587.e
旿	65e5.b,5348.c
昀	65e5.b,5300.c
昂	65e5.d,536c.e
昃	65e5.d,4ec4.e
昄	65e5.b,53cd.c
昆	65e5.d,6bd4.e
昇	65e5.d,5347.e
昈	65e5.b,6237.c
昉	65e5.b,65b9.c
昊	65e5.d,5929.e
昌	65e5.d,65e5.e
明	65e5.b,6708.c
昏	6c0f.d,65e5.e
昒	65e5.b,52ff.c
易	65e5.d,52ff.e
昔	8279.d,2313c.e
昕	65e5.b,65a4.c
昙	65e5.d,4e91.e
昜	65e6.d,52ff.e
昝	5904.d,65e5.e
星	65e5.d,751f.e
映	65e5.b,592e.c
昡	65e5.b,7384.c
昣	65e5.b,3431.c
昤	65e5.b,4ee4.c
春	215d7.d,65e5.e
昧	65e5.b,672a.c
昨	65e5.b,4e4d.c
昪	65e5.d,5f01.e
昫	65e5.b,53e5.c
昭	65e5.b,53ec.c
是	65e5.d,24d13.e
昱	65e5.d,7acb.e
昳	65e5.b,5931.c
昴	65e5.d,536f.e
昵	65e5.b,5c3c.c
昶	6c38.a,65e5.l
昺	65e5.d,4e19.e
昼	5c3a.d,65e6.e
昽	65e5.b,9f99.c
显	65e5.d,4e1a.e
昿	65e5.b,5e83.c
晁	65e5.d,5146.e
時	65e5.b,5bfa.c
晃	65e5.d,5149.e
晄	65e5.b,5149.c
晅	65e5.b,4e98.c
晉	4e00.d,2ff1.53b82313c.e#
晊	65e5.b,81f3.c
晋	4e9a.d,65e5.e
晌	65e5.b,5411.c
晏	65e5.d,5b89.e
晐	65e5.b,4ea5.c
晒	65e5.b,897f.c
晓	65e5.b,5c27.c
晔	65e5.b,534e.c
晕	65e5.d,519b.e
晖	65e5.b,519b.c
晗	65e5.b,542b.c
晙	65e5.b,590b.c
晚	65e5.b,514d.c
晝	807f.d,65e6.e
晞	65e5.b,5e0c.c
晟	65e5.d,6210.e
晡	65e5.b,752b.c
晢	6298.d,65e5.e
晤	65e5.b,543e.c
晦	65e5.b,6bcf.c
晧	65e5.b,544a.c
晨	65e5.d,8fb0.e
晩	65e5.b,514d.c
晪	65e5.b,5178.c
晫	65e5.b,5353.c
普	4e26.d,65e5.e
景	65e5.d,4eac.e
晰	65e5.b,6790.c
晱	65e5.b,708e.c
晴	65e5.b,9752.c
晶	65e5.d,660d.e
晷	65e5.d,548e.e
智	77e5.d,65e5.e
晾	65e5.b,4eac.c
暁	65e5.b,5c2d.c
暂	65a9.d,65e5.e
暃	65e5.d,975e.e
暄	65e5.b,5ba3.c
暅	65e5.b,6052.c
暇	65e5.b,53da.c
暈	65e5.d,8ecd.e
暉	65e5.b,8ecd.c
暌	65e5.b,7678.c
暎	65e5.b,82f1.c
暑	65e5.d,8005.e
暕	65e5.b,67ec.c
暖	65e5.b,7230.c
暗	65e5.b,97f3.c
暘	65e5.b,661c.c
暝	65e5.b,51a5.c
暢	7533.b,661c.c
暦	5382.a,23205.j
暧	65e5.b,7231.c
暨	65e2.d,65e6.e
暫	65ac.d,65e5.e
暮	83ab.d,65e5.e
暲	65e5.b,7ae0.c
暴	65e5.d,3cdf.e
暵	65e5.b,26c29.c
暶	65e5.b,65cb.c
暸	65e5.b,5c1e.c
暹	8fb6.a,2ffa.8fb6.2ff1.65e5.96b9.l
暼	655d.d,65e5.e
暾	65e5.b,6566.c
暿	65e5.b,559c.c
曁	65e2.d,65e6.e
曄	65e5.b,83ef.c
曇	65e5.d,96f2.e
曈	65e5.b,7ae5.c
曉	65e5.b,582f.c
曌	660e.d,7a7a.e
曖	65e5.b,611b.c
曙	65e5.b,7f72.c
曚	65e5.b,8499.c
